0000,082,3,0,02,20,30,00,0,53,1,0,02,6,01,0,00,7,999
0000,083,3,0,02,30,20,00,1,52,1,0,02,2,01,0,00,7,999
0005,085,9,0,03,20,99,00,1,99,2,0,03,9,02,0,00,1,020
0029,077,9,0,04,20,00,00,0,15,3,0,04,0,02,0,00,2,999
0027,076,2,0,03,10,00,00,0,12,3,0,03,0,11,4,30,1,025
0014,085,9,0,01,40,20,00,0,53,9,1,00,2,02,0,00,4,999
0009,078,9,0,04,40,99,10,0,70,8,0,04,9,01,0,00,7,999
0035,069,2,0,04,20,20,10,1,70,0,0,03,2,02,0,00,7,012
0013,071,2,0,04,20,00,00,0,15,1,0,04,0,02,0,21,1,040
0070,076,2,0,02,10,20,00,0,52,1,0,02,2,02,5,33,3,015
0014,059,9,0,02,10,00,00,1,12,3,0,02,0,02,0,00,1,017
0000,083,9,0,02,40,10,99,0,99,1,0,02,1,00,0,00,4,060
0001,081,4,0,03,40,20,00,0,53,0,0,03,2,01,0,00,7,999
0003,064,9,0,03,40,00,00,0,53,3,0,03,0,05,0,00,7,999
0000,075,3,0,02,20,00,00,0,15,1,0,02,0,05,0,00,1,999
0006,083,9,0,01,10,20,00,1,52,1,1,00,2,01,0,00,3,024
0000,077,9,0,02,20,20,10,0,70,3,0,02,2,01,0,00,4,040
0000,086,9,0,01,40,20,00,0,53,8,1,00,2,01,0,00,7,999
0030,075,2,0,03,20,00,00,0,15,3,0,03,0,02,0,21,1,046
0001,084,3,0,02,40,99,10,0,70,9,0,02,9,01,0,00,7,999
0008,084,9,0,02,40,30,00,0,53,3,0,02,6,01,0,00,7,050
0004,069,3,0,02,40,20,10,1,70,1,0,02,2,02,0,00,7,999
0003,083,2,0,02,40,00,10,1,70,1,0,02,0,02,0,00,7,076
0003,082,9,0,02,10,00,00,1,12,2,0,02,0,01,0,00,1,020
0001,080,3,0,03,40,30,10,1,70,9,0,03,6,05,0,00,7,999
0015,063,2,3,03,40,00,10,1,70,1,0,02,0,05,0,00,7,060
0000,081,9,0,02,40,20,10,0,70,0,0,02,2,05,0,00,7,050
0007,085,9,0,02,30,00,00,0,33,1,0,02,0,01,0,00,7,044
0001,085,2,0,02,20,00,00,0,15,3,0,02,0,02,5,30,1,043
0003,075,9,0,02,40,20,10,8,70,3,0,02,2,05,0,00,7,050
0000,080,9,0,04,40,20,10,0,70,0,0,04,2,01,0,00,7,046
0024,072,3,0,02,40,30,00,0,53,1,0,02,6,01,0,00,7,040
0002,071,3,0,03,40,00,10,0,70,1,0,03,0,02,0,00,7,040
0015,084,9,0,02,40,20,00,7,53,1,0,02,2,00,0,00,7,036
0014,071,4,0,02,40,20,10,0,70,3,0,02,2,01,0,00,7,054
0007,072,2,0,02,40,20,10,0,70,3,0,02,2,02,0,00,7,072
0000,084,9,0,01,40,00,10,0,70,9,1,00,0,05,0,00,7,999
0008,075,3,0,02,40,10,00,0,53,3,0,02,8,05,3,56,4,999
0062,066,9,0,03,99,00,00,1,90,1,0,02,0,05,0,00,1,999
0017,064,9,0,02,10,00,00,0,12,1,0,02,0,01,5,30,1,025
0000,077,9,0,02,99,99,10,0,70,9,0,02,9,01,0,00,7,999
0001,073,3,0,02,40,00,10,0,70,1,0,02,0,05,0,00,7,016
0007,081,9,0,03,40,20,00,1,53,0,0,03,2,05,0,00,4,999
0010,084,9,0,03,10,00,00,1,12,3,0,03,0,01,0,00,1,021
0011,071,9,0,02,10,20,10,1,70,3,0,02,2,02,0,00,7,021
0000,076,3,0,02,20,00,10,1,74,1,0,02,0,02,0,00,7,999
0000,097,9,0,02,99,99,99,0,99,9,0,02,9,01,0,00,9,999
0043,061,1,0,02,20,00,00,0,15,1,0,02,0,05,3,33,2,040
0012,077,9,0,04,40,00,10,0,70,9,0,04,0,05,0,00,7,021
0001,079,9,0,02,40,99,10,0,70,9,0,02,9,05,0,00,7,011
0003,086,9,0,05,20,00,10,1,70,0,0,05,0,05,0,00,7,033
0029,072,9,0,03,40,10,10,0,70,9,0,03,1,05,3,00,7,020
0063,085,9,0,03,10,00,00,1,12,3,0,03,0,05,0,00,1,018
0037,084,1,0,02,20,20,00,1,52,1,0,02,2,05,0,00,3,032
0015,083,9,0,02,99,99,99,0,99,1,0,02,9,01,3,00,9,999
0007,070,9,0,02,20,00,00,0,15,1,0,02,0,01,0,00,1,033
0032,077,3,0,02,20,20,00,1,52,1,0,02,2,05,0,00,4,056
0000,083,3,0,02,40,20,10,0,70,8,0,02,2,02,0,00,7,999
0000,077,3,0,02,40,99,10,0,70,3,0,02,9,05,0,00,7,029
0000,072,3,0,03,40,20,10,0,70,3,0,03,2,08,0,00,7,008
0022,065,4,0,02,40,30,00,1,53,1,0,02,6,01,0,00,7,076
0004,072,1,0,02,20,00,00,0,15,3,1,01,0,05,0,00,1,054
0022,085,9,0,02,10,00,00,0,12,3,0,02,0,01,0,00,1,030
0052,065,1,0,03,10,00,00,0,12,3,0,02,0,05,4,33,1,020
0037,066,9,0,03,10,00,00,0,12,1,0,03,0,05,3,21,1,011
0055,071,2,0,05,10,00,00,0,12,1,0,04,0,01,4,30,1,014
0000,077,3,0,02,40,20,10,0,70,1,0,02,2,05,0,00,7,048
0005,060,9,3,03,20,99,10,1,70,1,0,03,9,05,0,00,7,036
0001,065,3,0,02,20,20,10,0,70,3,0,02,2,05,0,00,7,035
0010,073,4,0,02,99,99,00,0,99,1,0,02,9,01,0,00,9,030
0000,086,9,0,03,40,20,10,0,70,1,0,03,2,05,0,00,7,038
0064,071,3,0,04,10,00,00,0,12,1,0,02,0,11,5,33,1,026
0043,058,2,0,03,40,00,10,0,70,3,0,03,0,05,4,21,7,010
0007,089,9,0,02,40,00,00,0,53,1,0,02,0,05,0,00,7,049
0000,081,9,0,03,99,20,10,1,70,1,0,03,2,01,0,00,7,999
0002,088,3,0,01,40,20,10,1,70,9,1,00,2,01,0,00,7,999
0017,080,2,0,02,40,30,10,0,70,3,0,02,6,05,0,00,7,999
